school_name,country
Harvard University,United States of America (the)
California Institute of Technology,United States of America (the)
Massachusetts Institute of Technology,United States of America (the)
Stanford University,United States of America (the)
Princeton University,United States of America (the)
University of Cambridge,United Kingdom
University of Oxford,United Kingdom
"University of California, Berkeley",United States of America (the)
Imperial College London,United Kingdom
Yale University,United States of America (the)
"University of California, Los Angeles",United States of America (the)
University of Chicago,United States of America (the)
Johns Hopkins University,United States of America (the)
Cornell University,United States of America (the)
ETH Zurich ??Swiss Federal Institute of Technology Zurich,Switzerland
University of Michigan,United States of America (the)
University of Toronto,Canada
Columbia University,United States of America (the)
University of Pennsylvania,United States of America (the)
Carnegie Mellon University,United States of America (the)
University of Hong Kong,Hong Kong
University College London,United Kingdom
University of Washington,United States of America (the)
Duke University,United States of America (the)
Northwestern University,United States of America (the)
University of Tokyo,Japan
Georgia Institute of Technology,United States of America (the)
Pohang University of Science and Technology,South Korea
"University of California, Santa Barbara",United States of America (the)
University of British Columbia,Canada
University of North Carolina at Chapel Hill,United States of America (the)
"University of California, San Diego",United States of America (the)
University of Illinois at Urbana-Champaign,United States of America (the)
National University of Singapore,Singapore
McGill University,Canada
University of Melbourne,Australia
Peking University,China
Washington University in St Louis,United States of America (the)
?cole Polytechnique,France
University of Edinburgh,United Kingdom
Hong Kong University of Science and Technology,Hong Kong
?cole Normale Supérieure,France
Australian National University,Australia
Karolinska Institute,Sweden
University of Göttingen,Germany
University of Wisconsin,United States of America (the)
Rice University,United States of America (the)
?cole Polytechnique Fédérale de Lausanne,Switzerland
"University of California, Irvine",United States of America (the)
University of Science and Technology of China,China
Vanderbilt University,United States of America (the)
University of Minnesota,United States of America (the)
Tufts University,United States of America (the)
"University of California, Davis",United States of America (the)
Brown University,United States of America (the)
University of Massachusetts,United States of America (the)
Kyoto University,Japan
Tsinghua University,China
Boston University,United States of America (the)
New York University,United States of America (the)
Emory University,United States of America (the)
LMU Munich,Germany
University of Notre Dame,United States of America (the)
University of Pittsburgh,United States of America (the)
Case Western Reserve University,United States of America (the)
Ohio State University,United States of America (the)
University of Colorado Boulder,United States of America (the)
University of Bristol,United Kingdom
"University of California, Santa Cruz",United States of America (the)
Yeshiva University,United States of America (the)
University of Sydney,Australia
University of Virginia,United States of America (the)
University of Adelaide,Australia
University of Southern California,United States of America (the)
William & Mary,United States of America (the)
Trinity College Dublin,Republic of Ireland
King?�s College London,United Kingdom
Stony Brook University,United States of America (the)
Korea Advanced Institute of Science and Technology (KAIST),South Korea
University of Sussex,United Kingdom
The University of Queensland,Australia
University of York,United Kingdom
Heidelberg University,Germany
University of Utah,United States of America (the)
Durham University,United Kingdom
London School of Economics and Political Science,United Kingdom
University of Manchester,United Kingdom
"Royal Holloway, University of London",United Kingdom
Lund University,Sweden
University of Southampton,United Kingdom
University of Zurich,Switzerland
Wake Forest University,United States of America (the)
McMaster University,Canada
University College Dublin,Republic of Ireland
George Washington University,United States of America (the)
University of Arizona,United States of America (the)
University of Basel,Switzerland
"University of Maryland, College Park",United States of America (the)
Dartmouth College,United States of America (the)
?cole Normale Supérieure de Lyon,France
Technical University of Munich,Germany
University of Helsinki,Finland
University of St Andrews,United Kingdom
Rensselaer Polytechnic Institute,United States of America (the)
"Rutgers, the State University of New Jersey",United States of America (the)
Purdue University,United States of America (the)
National Tsing Hua University,Taiwan
University of Cape Town,South Africa
Pennsylvania State University,United States of America (the)
Seoul National University,South Korea
Hong Kong Baptist University,Hong Kong
Bilkent University,Turkey
Tokyo Institute of Technology,Japan
Eindhoven University of Technology,Netherlands
National Taiwan University,Taiwan
University of Hawai?�i at M?noa,United States of America (the)
"University of California, Riverside",United States of America (the)
University of Geneva,Switzerland
KU Leuven,Belgium
Nanjing University,China
Queen Mary University of London,United Kingdom
Michigan State University,United States of America (the)
Technical University of Denmark,Denmark
Ghent University,Belgium
Lancaster University,United Kingdom
Leiden University,Netherlands
University of Alberta,Canada
University of Glasgow,United Kingdom
Stockholm University,Sweden
Osaka University,Japan
University of Victoria,Canada
Tohoku University,Japan
University of Freiburg,Germany
University of Iowa,United States of America (the)
University of Bergen,Norway
University of Lausanne,Switzerland
University of Sheffield,United Kingdom
University of Montreal,Canada
VU University Amsterdam,Netherlands
Pierre and Marie Curie University,France
University of Dundee,United Kingdom
University of Barcelona,Spain
Utrecht University,Netherlands
Wageningen University and Research Center,Netherlands
University of Auckland,New Zealand
University of Birmingham,United Kingdom
Alexandria University,Egypt
Uppsala University,Sweden
Hong Kong Polytechnic University,Hong Kong
University of Aberdeen,United Kingdom
Delft University of Technology,Netherlands
"Birkbeck, University of London",United Kingdom
Newcastle University,United Kingdom
University of New South Wales,Australia
Pompeu Fabra University,Spain
Indiana University,United States of America (the)
Iowa State University,United States of America (the)
Georgia Health Sciences University,United States of America (the)
Erasmus University Rotterdam,Netherlands
University of Delaware,United States of America (the)
Arizona State University,United States of America (the)
Boston College,United States of America (the)
National Sun Yat-Sen University,Taiwan
Georgetown University,United States of America (the)
University of Amsterdam,Netherlands
University of Liverpool,United Kingdom
Aarhus University,Denmark
University of Leeds,United Kingdom
University of Würzburg,Germany
University of Groningen,Netherlands
Sun Yat-sen University,China
Goethe University Frankfurt,Germany
Bielefeld University,Germany
Nanyang Technological University,Singapore
University of East Anglia,United Kingdom
University of Nottingham,United Kingdom
University of Copenhagen,Denmark
Humboldt University of Berlin,Germany
Monash University,Australia
University of Bonn,Germany
National Chiao Tung University,Taiwan
RWTH Aachen University,Germany
Middle East Technical University,Turkey
University of Exeter,United Kingdom
University of Twente,Netherlands
University of Konstanz,Germany
Karlsruhe Institute of Technology,Germany
University of Innsbruck,Austria
University of Tübingen,Germany
Drexel University,United States of America (the)
University of Cincinnati,United States of America (the)
Yonsei University,South Korea
Dalhousie University,Canada
KTH Royal Institute of Technology,Sweden
University of Vienna,Austria
Kent State University,United States of America (the)
University of Illinois at Chicago,United States of America (the)
Zhejiang University,China
Simon Fraser University,Canada
Swedish University of Agricultural Sciences,Sweden
University of Wisconsin-Madison,United States of America (the)
University of Texas at Austin,United States of America (the)
University of Rochester,United States of America (the)
University of Bern,Switzerland
Hebrew University of Jerusalem,Israel
University of Florida,United States of America (the)
Brandeis University,United States of America (the)
Chinese University of Hong Kong,Hong Kong
Free University of Berlin,Germany
University of Warwick,United Kingdom
Radboud University Nijmegen,Netherlands
Medical University of South Carolina,United States of America (the)
Texas A&M University,United States of America (the)
University of Reading,United Kingdom
Tel Aviv University,Israel
Paris Diderot University ??Paris 7,France
Université Catholique de Louvain,Belgium
University of Miami,United States of America (the)
Queen?�s University,Canada
University of São Paulo,Brazil
University of Oslo,Norway
University of Ottawa,Canada
University of Western Australia,Australia
City University of Hong Kong,Hong Kong
Maastricht University,Netherlands
University of Leicester,United Kingdom
Autonomous University of Barcelona,Spain
Cardiff University,United Kingdom
Colorado School of Mines,United States of America (the)
Nagoya University,Japan
Northeastern University,United States of America (the)
Technion Israel Institute of Technology,Israel
Tulane University,United States of America (the)
Ulm University,Germany
Umeå University,Sweden
University at Buffalo,United States of America (the)
University of Essex,United Kingdom
University of Georgia,United States of America (the)
University of Gothenburg,Sweden
University of Medicine and Dentistry of New Jersey,United States of America (the)
University of Otago,New Zealand
University of South Carolina,United States of America (the)
University of Strasbourg,France
University of Waterloo,Canada
University of Western Ontario,Canada
Université Libre de Bruxelles,Belgium
Carleton University,Canada
Chalmers University of Technology,Sweden
Colorado State University,United States of America (the)
Creighton University,United States of America (the)
Fudan University,China
Korea University,South Korea
Macquarie University,Australia
State University of New York Albany,United States of America (the)
Tokyo Metropolitan University,Japan
University of Bologna,Italy
University of Calgary,Canada
University of Hamburg,Germany
University of Milan,Italy
University of Milan-Bicocca,Italy
University of Missouri,United States of America (the)
University of Padua,Italy
University of Trieste,Italy
Bangor University,United Kingdom
Brunel University London,United Kingdom
Johannes Kepler University of Linz,Austria
Kyushu University,Japan
Norwegian University of Science and Technology,Norway
Queen?�s University Belfast,United Kingdom
Ruhr University Bochum,Germany
Stellenbosch University,South Africa
Tilburg University,Netherlands
TU Dresden,Germany
University of Bath,United Kingdom
University of Graz,Austria
University of Kiel,Germany
University of Southern Denmark,Denmark
University of Texas at Dallas,United States of America (the)
University of the Witwatersrand,South Africa
University of Tsukuba,Japan
University of Wollongong,Australia
Victoria University of Wellington,New Zealand
Virginia Polytechnic Institute and State University,United States of America (the)
Wayne State University,United States of America (the)
Aberystwyth University,United Kingdom
Autonomous University of Madrid,Spain
Hokkaido University,Japan
Istanbul Technical University,Turkey
Lomonosov Moscow State University,Russian Federation
Montpellier University,France
Queensland University of Technology,Australia
State University of Campinas,Brazil
Technical University of Darmstadt,Germany
Tokyo Medical and Dental University (TMDU),Japan
UiT The Arctic University of Norway,Norway
University of Antwerp,Belgium
University of Crete,Greece
University of Guelph,Canada
University of Iceland,Iceland
University of Kansas,United States of America (the)
University of Kentucky,United States of America (the)
University of Münster,Germany
University of Newcastle,Australia
University of Texas at San Antonio,United States of America (the)
University of Trento,Italy
York University,Canada
Aalborg University,Denmark
Aalto University,Finland
Bar-Ilan University,Israel
"Binghamton University, State University of New York",United States of America (the)
Bo?aziçi University,Turkey
Charles Darwin University,Australia
Charles University in Prague,Czech Republic
George Mason University,United States of America (the)
Indian Institute of Technology Bombay,India
Jagiellonian University,Poland
Keele University,United Kingdom
Keio University,Japan
Lehigh University,United States of America (the)
Linköping University,Sweden
National Taiwan University of Science and Technology (Taiwan Tech),Taiwan
Plymouth University,United Kingdom
Polytechnic University of Milan,Italy
Sapienza University of Rome,Italy
Shanghai Jiao Tong University,China
Sharif University of Technology,Iran
Sungkyunkwan University (SKKU),South Korea
University College Cork,Republic of Ireland
University of Aveiro,Portugal
University of Canterbury,New Zealand
University of Eastern Finland,Finland
University of Ferrara,Italy
University of Hertfordshire,United Kingdom
University of Houston,United States of America (the)
University of Hull,United Kingdom
University of Liège,Belgium
University of Manitoba,Canada
"University of Maryland, Baltimore County",United States of America (the)
University of Modena and Reggio Emilia,Italy
University of Oklahoma,United States of America (the)
University of Pisa,Italy
University of Porto,Portugal
University of South Florida,United States of America (the)
University of Stirling,United Kingdom
University of Surrey,United Kingdom
University of Tampere,Finland
University of Tasmania,Australia
University of Valencia,Spain
University of Waikato,New Zealand
University of Warsaw,Poland
Vienna University of Technology,Austria
Vrije Universiteit Brussel,Belgium
Washington State University,United States of America (the)
Aston University,United Kingdom
Auburn University,United States of America (the)
Clemson University,United States of America (the)
Curtin University,Australia
Deakin University,Australia
Flinders University,Australia
Georgia State University,United States of America (the)
Griffith University,Australia
Harbin Institute of Technology,China
Heriot-Watt University,United Kingdom
Hiroshima University,Japan
Kansas State University,United States of America (the)
Kobe University,Japan
Kyung Hee University,South Korea
La Trobe University,Australia
Leibniz University of Hanover,Germany
Liverpool John Moores University,United Kingdom
Loughborough University,United Kingdom
Mahidol University,Thailand
Massey University,New Zealand
Michigan Technological University,United States of America (the)
National Central University,Taiwan
National Taiwan Ocean University,Taiwan
"National University of Ireland, Galway",Republic of Ireland
"National University of Ireland, Maynooth",Republic of Ireland
New Jersey Institute of Technology,United States of America (the)
New University of Lisbon,Portugal
Old Dominion University,United States of America (the)
Polytechnic University of Catalonia,Spain
Polytechnic University of Turin,Italy
Polytechnic University of Valencia,Spain
Pontifical Catholic University of Chile,Chile
Saint Petersburg State University,Russian Federation
Swansea University,United Kingdom
Swinburne University of Technology,Australia
Tokyo University of Agriculture and Technology,Japan
University of Bari Aldo Moro,Italy
University of Coimbra,Portugal
University of Idaho,United States of America (the)
University of Kent,United Kingdom
University of Paris North ??Paris 13,France
University of Salento,Italy
University of South Australia,Australia
University of Strathclyde,United Kingdom
University of Tartu,Estonia
University of Turku,Finland
University of Wyoming,United States of America (the)
University of Zaragoza,Spain
Waseda University,Japan
Wuhan University,China
Yuan Ze University,Taiwan
Paris-Sud University,France
Joseph Fourier University,France
Johannes Gutenberg University of Mainz,Germany
"St George?�s, University of London",United Kingdom
University of Erlangen-Nuremberg,Germany
Florida Institute of Technology,United States of America (the)
Indian Institute of Technology Kharagpur,India
Koç University,Turkey
Laval University,Canada
Mines ParisTech,France
National Research Nuclear University MePhI,Russian Federation
University of Connecticut,United States of America (the)
University of Oregon,United States of America (the)
Bayreuth University,Germany
Oregon State University,United States of America (the)
University of Montana,United States of America (the)
University of Turin,Italy
Claude Bernard University Lyon 1,France
King Abdulaziz University,Saudi Arabia
Medical University of Vienna,Austria
Murdoch University,Australia
National Cheng Kung University,Taiwan
North Carolina State University,United States of America (the)
Renmin University of China,China
University of Fribourg,Switzerland
University of Pavia,Italy
University of Portsmouth,United Kingdom
